28457,WR,"['25.00', '29.80', '5.10', '4.40', '8.20', '4.65', '2.20', '22.20', '3.30', '15.50', '12.10', '17.30', '26.70', '0.00', '4.50', '10.60', '25.50']"
27277,WR,"['26.70', '12.90', '14.00', '6.10', '5.00', '26.30', '17.80', '7.60', '10.00', '19.20', '20.70', '0.50', '0.00', '0.00', '5.50', '0.00', '0.00']"
30994,WR,"['13.85', '18.90', '18.50', '29.90', '6.95', '9.40', '11.30', '7.90', '6.10', '4.40', '13.50', '13.30', '12.40', '9.80', '8.00', '4.40', '14.50']"
32705,RB,"['21.40', '9.80', '20.20', '6.90', '20.40', '15.20', '25.40', '5.60', '17.00', '23.10', '2.40', '0.00', '0.00', '0.00', '0.00', '4.90', '12.60']"
29785,WR,"['12.20', '5.30', '1.30', '7.40', '4.00', '8.60', '2.90', '0.00', '0.70', '11.70', '5.50', '2.00', '18.90', '7.70', '8.30', '2.00', '14.50']"
30182,WR,"['21.30', '34.30', '27.10', '8.90', '14.30', '31.90', '34.60', '23.40', '16.00', '19.70', '16.10', '24.90', '26.80', '32.20', '17.30', '19.50', '25.10']"
31833,QB,"['35.56', '37.10', '21.54', '23.62', '14.66', '26.76', '23.44', '12.06', '0.00', '0.00', '0.00', '31.82', '22.42', '14.58', '23.90', '23.92', '18.10']"
27540,WR,"['0.00', '0.00', '12.20', '4.10', '3.00', '11.40', '3.30', '1.10', '0.00', '2.80', '17.60', '9.80', '17.70', '1.20', '11.70', '12.40', '2.80']"
31885,RB,"['16.30', '7.40', '7.00', '6.20', '7.60', '8.60', '3.20', '0.00', '0.00', '0.00', '8.40', '7.90', '17.70', '17.60', '5.30', '0.00', '0.00']"
31905,RB,"['20.30', '10.40', '6.50', '24.60', '0.00', '0.00', '0.00', '0.00', '10.00', '8.20', '8.90', '25.10', '11.10', '9.80', '20.10', '21.10', '9.90']"
31840,TE,"['22.70', '17.60', '2.00', '6.20', '3.20', '12.40', '7.80', '14.90', '0.00', '8.10', '11.00', '12.90', '0.00', '0.00', '0.00', '0.00', '0.00']"
33393,WR,"['19.40', '12.40', '21.50', '11.70', '26.90', '12.70', '35.10', '11.60', '5.90', '11.50', '5.40', '7.70', '23.80', '0.80', '18.00', '55.10', '3.60']"
